family_code,family_zh,family,spid,zh_name,name,en_name,reg_tw,reg_matsu,reg_kingmen,tw_endemic,consv_status
C01,雁鴨科,Anatidae,15,棉鴨,Nettapus coromandelianus,Cotton Pygmy-Goose,迷,無,迷,,
C01,雁鴨科,Anatidae,29,赤嘴潛鴨,Netta rufina,Red-crested Pochard,迷,無,無,,
C01,雁鴨科,Anatidae,30,帆背潛鴨,Aythya valisineria,Canvasback,迷,無,無,,
C01,雁鴨科,Anatidae,31,紅頭潛鴨,Aythya ferina,Common Pochard,冬、稀,無,冬、稀,,
C01,雁鴨科,Anatidae,32,青頭潛鴨,Aythya baeri,Baer''s Pochard,冬、稀,無,迷,,
C01,雁鴨科,Anatidae,33,白眼潛鴨,Aythya nyroca,Ferruginous Duck,迷,無,無,,
C01,雁鴨科,Anatidae,34,鳳頭潛鴨,Aythya fuligula,Tufted Duck,冬、普,過、稀,冬、稀,,
C01,雁鴨科,Anatidae,35,斑背潛鴨,Aythya marila,Greater Scaup,冬、稀,無,冬、稀,,
C01,雁鴨科,Anatidae,36,長尾鴨,Clangula hyemalis,Long-tailed Duck,迷,無,無,,
C01,雁鴨科,Anatidae,37,鵲鴨,Bucephala clangula,Common Goldeneye,過、稀,無,迷,,
C01,雁鴨科,Anatidae,38,白秋沙,Mergellus albellus,Smew,過、稀,無,無,,
C01,雁鴨科,Anatidae,39,川秋沙,Mergus merganser,Common Merganser,迷,無,迷,,
C01,雁鴨科,Anatidae,40,紅胸秋沙,Mergus serrator,Red-breasted Merganser,冬、稀,冬、稀,迷,,
C01,雁鴨科,Anatidae,41,唐秋沙,Mergus squamatus,Scaly-sided Merganser,冬、稀,無,無,,
C01,雁鴨科,Anatidae,3,寒林豆雁,Anser fabalis,Taiga Bean-Goose,冬、稀,過、稀,冬、稀,,
C01,雁鴨科,Anatidae,1,樹鴨,Dendrocygna javanica,Lesser Whistling-Duck,迷,無,無,,
C01,雁鴨科,Anatidae,16,鴛鴦,Aix galericulata,Mandarin Duck,留、不普/過、稀,過、稀,過、稀,,II
C01,雁鴨科,Anatidae,2,鴻雁,Anser cygnoides,Swan Goose,冬、稀,無,冬、稀,,
C01,雁鴨科,Anatidae,27,巴鴨,Anas formosa,Baikal Teal,冬、稀,過、稀,冬、稀,,II
C01,雁鴨科,Anatidae,5,白額雁,Anser albifrons,Greater White-fronted Goose,冬、稀,冬、稀,冬、稀,,
C01,雁鴨科,Anatidae,6,小白額雁,Anser erythropus,Lesser White-fronted Goose,過、稀,無,無,,
C01,雁鴨科,Anatidae,7,灰雁,Anser anser,Graylag Goose,迷,無,無,,
C01,雁鴨科,Anatidae,8,黑雁,Branta bernicla,Brant,迷,無,無,,
C01,雁鴨科,Anatidae,9,小加拿大雁,Branta hutchinsii,Cackling Goose,迷,無,無,,
C01,雁鴨科,Anatidae,10,疣鼻天鵝,Cygnus olor,Mute Swan,迷,無,無,,
C01,雁鴨科,Anatidae,11,小天鵝,Cygnus columbianus,Tundra Swan,迷,無,迷,,
C01,雁鴨科,Anatidae,12,黃嘴天鵝,Cygnus cygnus,Whooper Swan,迷,無,迷,,
C01,雁鴨科,Anatidae,13,瀆鳧,Tadorna ferruginea,Ruddy Shelduck,冬、稀,無,冬、稀,,
C01,雁鴨科,Anatidae,14,花鳧,Tadorna tadorna,Common Shelduck,冬、稀,無,冬、稀,,
C01,雁鴨科,Anatidae,4,凍原豆雁,Anser serrirostris,Tundra Bean-Goose,冬、稀,過、稀,冬、稀,,
C01,雁鴨科,Anatidae,17,赤膀鴨,Anas strepera,Gadwall,冬、不普,冬、稀,冬、稀,,
C01,雁鴨科,Anatidae,18,羅文鴨,Anas falcata,Falcated Duck,冬、稀,冬、稀,冬、不普,,
C01,雁鴨科,Anatidae,19,赤頸鴨,Anas penelope,Eurasian Wigeon,冬、普,過、不普,冬、普,,
C01,雁鴨科,Anatidae,20,葡萄胸鴨,Anas americana,American Wigeon,冬、稀,無,冬、稀,,
C01,雁鴨科,Anatidae,21,綠頭鴨,Anas platyrhynchos,Mallard,冬、不普/引進種、稀,過、不普,冬、不普,,
C01,雁鴨科,Anatidae,22,花嘴鴨,Anas zonorhyncha,Eastern Spot-billed Duck,留、不普/冬、不普,過、稀,留、普,,
C01,雁鴨科,Anatidae,23,呂宋鴨,Anas luzonica,Philippine Duck,迷,無,無,,
C01,雁鴨科,Anatidae,24,琵嘴鴨,Anas clypeata,Northern Shoveler,冬、普,過、稀,冬、不普,,
C01,雁鴨科,Anatidae,25,尖尾鴨,Anas acuta,Northern Pintail,冬、普,過、不普,冬、普,,
C01,雁鴨科,Anatidae,26,白眉鴨,Anas querquedula,Garganey,冬、稀/過、普,過、稀,冬、不普,,
C01,雁鴨科,Anatidae,28,小水鴨,Anas crecca,Green-winged Teal,冬、普,過、不普,冬、普,,
C02,雉科,Phasianidae,44,臺灣山鷓鴣,Arborophila crudigularis,Taiwan Partridge,留、不普,無,無,特有種,III
C02,雉科,Phasianidae,46,藍腹鷴,Lophura swinhoii,Swinhoe''s Pheasant,留、不普,無,無,特有種,II
C02,雉科,Phasianidae,47,黑長尾雉,Syrmaticus mikado,Mikado Pheasant,留、稀,無,無,特有種,II
C02,雉科,Phasianidae,48,環頸雉,Phasianus colchicus,Ring-necked Pheasant,特亞、稀/雜、不普,無,引進種、普,特有亞種(P. c. formosanus),II
C02,雉科,Phasianidae,43,小鵪鶉,Coturnix chinensis,Blue-breasted Quail,留、稀,無,無,,II
C02,雉科,Phasianidae,42,鵪鶉,Coturnix japonica,Japanese Quail,過、稀,過、稀,過、稀,,
C02,雉科,Phasianidae,45,竹雞,Bambusicola thoracicus,Chinese Bamboo-Partridge,留、普,無,無,特有亞種(B. t. sonorivox),
C03,潛鳥科,Gaviidae,52,白嘴潛鳥,Gavia adamsii,Yellow-billed Loon,無,迷,無,,
C03,潛鳥科,Gaviidae,49,紅喉潛鳥,Gavia stellata,Red-throated Loon,迷,冬、稀,冬、稀,,
C03,潛鳥科,Gaviidae,50,黑喉潛鳥,Gavia arctica,Arctic Loon,迷,無,迷,,
C03,潛鳥科,Gaviidae,51,太平洋潛鳥,Gavia pacifica,Pacific Loon,迷,無,無,,
C04,鸊鷉科,Podicipedidae,56,冠鸊鷉,Podiceps cristatus,Great Crested Grebe,冬、稀,過、稀,冬、普,,
C04,鸊鷉科,Podicipedidae,57,黑頸鸊鷉,Podiceps nigricollis,Eared Grebe,冬、稀,過、稀,冬、稀,,
C04,鸊鷉科,Podicipedidae,53,小鸊鷉,Tachybaptus ruficollis,Little Grebe,留、普/冬、普,冬、稀/過、不普,留、普,,
C04,鸊鷉科,Podicipedidae,54,角鸊鷉,Podiceps auritus,Horned Grebe,冬、稀,過、稀,冬、稀,,
C04,鸊鷉科,Podicipedidae,55,赤頸鸊鷉,Podiceps grisegena,Red-necked Grebe,無,迷,無,,
C05,信天翁科,Diomedeidae,59,黑腳信天翁,Phoebastria nigripes,Black-footed Albatross,海、稀,無,海、稀,,I
C05,信天翁科,Diomedeidae,58,黑背信天翁,Phoebastria immutabilis,Laysan Albatross,海、迷,無,無,,
C05,信天翁科,Diomedeidae,60,短尾信天翁,Phoebastria albatrus,Short-tailed Albatross,海、稀,無,海、稀,,I
C06,鸌科,Procellariidae,66,長尾水薙鳥,Puffinus pacificus,Wedge-tailed Shearwater,海、稀,無,無,,
C06,鸌科,Procellariidae,61,白腹穴鳥,Pterodroma hypoleuca,Bonin Petrel,海、稀,無,無,,
C06,鸌科,Procellariidae,62,穴鳥,Bulweria bulwerii,Bulwer''s Petrel,海、普,夏、不普,無,,
C06,鸌科,Procellariidae,63,黑背白腹穴鳥,Pseudobulweria rostrata,Tahiti Petrel,海、迷,無,無,,
C06,鸌科,Procellariidae,64,大水薙鳥,Calonectris leucomelas,Streaked Shearwater,海、普,海、不普,無,,
C06,鸌科,Procellariidae,65,肉足水薙鳥,Puffinus carneipes,Flesh-footed Shearwater,海、迷,無,無,,
C06,鸌科,Procellariidae,68,短尾水薙鳥,Puffinus tenuirostris,Short-tailed Shearwater,海、稀,海、稀,無,,
C06,鸌科,Procellariidae,67,灰水薙鳥,Puffinus griseus,Sooty Shearwater,海、稀,海、稀,無,,
C07,海燕科,Hydrobatidae,69,白腰叉尾海燕,Oceanodroma leucorhoa,Leach''s Storm-Petrel,無,海、迷,無,,
C07,海燕科,Hydrobatidae,70,黑叉尾海燕,Oceanodroma monorhis,Swinhoe''s Storm-Petrel,海、不普,海、稀,無,,
C07,海燕科,Hydrobatidae,71,褐翅叉尾海燕,Oceanodroma tristrami,Tristram''s Storm-Petrel,海、迷,無,無,,
C08,熱帶鳥科,Phaethontidae,72,白尾熱帶鳥,Phaethon lepturus,White-tailed Tropicbird,海、迷,無,無,,
C08,熱帶鳥科,Phaethontidae,73,紅嘴熱帶鳥,Phaethon aethereus,Red-billed Tropicbird,海、迷,無,無,,
C08,熱帶鳥科,Phaethontidae,74,紅尾熱帶鳥,Phaethon rubricauda,Red-tailed Tropicbird,海、稀,無,無,,
C09,鸛科,Ciconiidae,76,東方白鸛,Ciconia boyciana,Oriental Stork,冬、稀,過、稀,冬、稀,,I
C09,鸛科,Ciconiidae,75,黑鸛,Ciconia nigra,Black Stork,冬、稀/過、稀,無,冬、稀,,II
C10,軍艦鳥科,Fregatidae,78,白斑軍艦鳥,Fregata ariel,Lesser Frigatebird,海、稀,海、稀,海、稀,,
C10,軍艦鳥科,Fregatidae,77,軍艦鳥,Fregata minor,Great Frigatebird,海、稀,海、稀,海、稀,,
C11,鰹鳥科,Sulidae,79,藍臉鰹鳥,Sula dactylatra,Masked Booby,海、稀,無,無,,
C11,鰹鳥科,Sulidae,80,白腹鰹鳥,Sula leucogaster,Brown Booby,海、普,過、稀,過、稀,,
C11,鰹鳥科,Sulidae,81,紅腳鰹鳥,Sula sula,Red-footed Booby,海、稀,海、稀,無,,
C12,鸕鷀科,Phalacrocoracidae,82,鸕鷀,Phalacrocorax carbo,Great Cormorant,冬、普,冬、不普,冬、普,,
C12,鸕鷀科,Phalacrocoracidae,84,海鸕鷀,Phalacrocorax pelagicus,Pelagic Cormorant,迷,迷,迷,,
C12,鸕鷀科,Phalacrocoracidae,83,丹氏鸕鷀,Phalacrocorax capillatus,Japanese Cormorant,冬、稀,冬、稀,迷,,
C13,鵜鶘科,Pelecanidae,85,卷羽鵜鶘,Pelecanus crispus,Dalmatian Pelican,迷,無,過、稀,,I
C14,鷺科,Ardeidae,97,小白鷺,Egretta garzetta,Little Egret,留、不普/夏、普/冬、普/過、普,留、普,留、普,,
C14,鷺科,Ardeidae,98,岩鷺,Egretta sacra,Pacific Reef-Heron,留、不普,留、普,留、不普,,
C14,鷺科,Ardeidae,99,白頸黑鷺,Egretta picata,Pied Heron,迷,無,無,,
C14,鷺科,Ardeidae,100,黃頭鷺,Bubulcus ibis,Cattle Egret,留、不普/夏、普/冬、普/過、普,夏、稀/過、普,留、不普/過、不普,,
C14,鷺科,Ardeidae,101,池鷺,Ardeola bacchus,Chinese Pond-Heron,冬、稀,夏、普/過、普,夏、不普/過、不普,,
C14,鷺科,Ardeidae,102,爪哇池鷺,Ardeola speciosa,Javan Pond-Heron,迷,無,無,,
C14,鷺科,Ardeidae,103,綠簑鷺,Butorides striata,Striated Heron,留、不普/過、稀,夏、 稀,過、稀,,
C14,鷺科,Ardeidae,104,夜鷺,Nycticorax nycticorax,Black-crowned Night-Heron,留、普/冬、稀/過、稀,留、稀,留、普,,
C14,鷺科,Ardeidae,105,棕夜鷺,Nycticorax caledonicus,Rufous Night-Heron,迷,無,無,,
C14,鷺科,Ardeidae,107,黑冠麻鷺,Gorsachius melanolophus,Malayan Night-Heron,留、普,無,迷,,
C14,鷺科,Ardeidae,106,麻鷺,Gorsachius goisagi,Japanese Night-Heron,過、稀,過、稀,無,,III
C14,鷺科,Ardeidae,86,大麻鷺,Botaurus stellaris,Great Bittern,冬、稀,過、稀,冬、稀,,
C14,鷺科,Ardeidae,88,秋小鷺,Ixobrychus eurhythmus,Schrenck''s Bittern,過、稀,過、稀,過、稀,,
C14,鷺科,Ardeidae,89,栗小鷺,Ixobrychus cinnamomeus,Cinnamon Bittern,留、不普,夏、稀,夏、稀,,
C14,鷺科,Ardeidae,90,黃頸黑鷺,Ixobrychus flavicollis,Black Bittern,過、稀,過、稀,過、稀,,
C14,鷺科,Ardeidae,91,蒼鷺,Ardea cinerea,Gray Heron,冬、普,冬、不普,冬、普,,
C14,鷺科,Ardeidae,92,紫鷺,Ardea purpurea,Purple Heron,冬、稀,過、稀,過、稀,,
C14,鷺科,Ardeidae,93,大白鷺,Ardea alba,Great Egret,冬、普/夏、稀,冬、普,冬、普,,
C14,鷺科,Ardeidae,94,中白鷺,Mesophoyx intermedia,Intermediate Egret,冬、普/夏、稀,冬、不普,冬、不普,,
C14,鷺科,Ardeidae,95,白臉鷺,Egretta novaehollandiae,White-faced Heron,迷,無,無,,
C14,鷺科,Ardeidae,96,唐白鷺,Egretta eulophotes,Chinese Egret,過、不普,過、稀,過、稀/夏、稀,,II
C14,鷺科,Ardeidae,87,黃小鷺,Ixobrychus sinensis,Yellow Bittern,留、普/夏、普,夏、不普,夏、不普/過、不普,,
C15,䴉科,Threskiornithidae,108,彩䴉,Plegadis falcinellus,Glossy Ibis,迷,無,無,,
C15,䴉科,Threskiornithidae,111,朱鷺,Nipponia nippon,Crested Ibis,迷,無,無,,I
C15,䴉科,Threskiornithidae,113,黑面琵鷺,Platalea minor,Black-faced Spoonbill,冬、不普/過、稀,過、稀,冬、不普,,I
C15,䴉科,Threskiornithidae,109,埃及聖䴉,Threskiornis aethiopicus,Sacred Ibis,引進種、不普,引進種、稀,無,,
C15,䴉科,Threskiornithidae,112,白琵鷺,Platalea leucorodia,Eurasian Spoonbill,冬、稀,過、稀,過、稀,,II
C15,䴉科,Threskiornithidae,110,黑頭白䴉,Threskiornis melanocephalus,Black-headed Ibis,冬、稀/過、稀,無,過、稀,,II
C16,鶚科,Pandionidae,114,魚鷹,Pandion haliaetus,Osprey,冬、不普,過、稀,留、不普,,II
C17,鷹科,Accipitridae,121,林鵰,Ictinaetus malayensis,Black Eagle,留、稀,無,無,,I
C17,鷹科,Accipitridae,131,松雀鷹,Accipiter virgatus,Besra,留、不普,過、稀,過、稀,特有亞種(A. v. fuscipectus),II
C17,鷹科,Accipitridae,130,日本松雀鷹,Accipiter gularis,Japanese Sparrowhawk,冬、稀/過、不普,冬、不普/過、普,過、稀,,II
C17,鷹科,Accipitridae,129,赤腹鷹,Accipiter soloensis,Chinese Sparrowhawk,過、普,過、普,過、稀,,II
C17,鷹科,Accipitridae,128,鳳頭蒼鷹,Accipiter trivirgatus,Crested Goshawk,留、普,迷,無,特有亞種(A. t. formosae),II
C17,鷹科,Accipitridae,127,花澤鵟,Circus melanoleucos,Pied Harrier,過、稀,無,過、稀,,II
C17,鷹科,Accipitridae,126,灰澤鵟,Circus cyaneus,Northern Harrier,冬、稀/過、稀,過、稀,過、稀,,II
C17,鷹科,Accipitridae,125,東方澤鵟,Circus spilonotus,Eastern Marsh-Harrier,冬、不普/過、不普,過、稀,過、稀,,II
C17,鷹科,Accipitridae,124,灰面鵟鷹,Butastur indicus,Gray-faced Buzzard,過、普/冬、稀,過、普,過、不普,,II
C17,鷹科,Accipitridae,123,白肩鵰,Aquila heliaca,Imperial Eagle,過、稀,無,無,,II
C17,鷹科,Accipitridae,122,花鵰,Clanga clanga,Greater Spotted Eagle,冬、稀,過、稀,迷,,II
C17,鷹科,Accipitridae,119,大冠鷲,Spilornis cheela,Crested Serpent-Eagle,留、普,無,迷,特有亞種(S. c. hoya),II
C17,鷹科,Accipitridae,118,禿鷲,Aegypius monachus,Cinereous Vulture,冬、稀,無,無,,II
C17,鷹科,Accipitridae,117,黑冠鵑隼,Aviceda leuphotes,Black Baza,過、稀,無,迷,,II
C17,鷹科,Accipitridae,116,東方蜂鷹,Pernis ptilorhynchus,Oriental Honey-buzzard,留、不普/過、普,過、稀,過、稀,,II
